"Index","Telugu Text","Mapped English Text"
"5","వాళ్లు ఎక్కడ ఉన్నారు? ఏంటి నేను వచ్చింది నా కుటుంబాన్ని వెతకడానికి.","Where are they? Wha I came looking for my family."
"6","నీ మాదిరిగానే.","Just Just like you."
"7","ఓహ్, అవునా?",", yeah?"
"9","హేయ్.","Hey."
"10","నీకు ఈ దెబ్బ తగిలినప్పుడు నేను అక్కడే ఉన్నాను.","[screams] I was there when you got this."
"11","నువ్వే నన్ను ఇలా చేశావు.","You're the one who did this to me."
"13","మన అందరినీ దెబ్బతీశావు.","To all of us."
"14","ఎలా చూసినా, నేను కూడా నీ అంత తెలివైన వాడినే, కాబట్టి నువ్వు నాతో పెట్టుకోకు.","At the bare minimum, I'm as smart as you, so don't fuck with me."
"15","వాళ్లు ఎక్కడ ఉన్నారు?","Where are they?"
"16","సరే.","[breathing heavily] Okay."
"17","నేను సారీ చెబుతున్నా. చాలా సారీ.","I'm I'm sorry. I'm so s."
"18","నోరు మూయి. నీ చెత్త క్షమాపణ నాకు అవసరం లేదు.","Fuck you. I don't want your fucking apology."
"19","వాళ్లు ఎక్కడ ఉన్నారో చెప్పు!","Tell me where they are!"
"20","ఓహ్, అయ్యో. నాకు తెలియదు.",", fuck. I don't know."
"22","ఓహ్, చెత్త.",", fuck."
"23","వాళ్లు ఎక్కడ ఉన్నారు?","Where are they?"
"24","డానియేలాకి విషయం తెలిసిపోయింది.","Daniela found out."
"25","అవును తనకి తెలిసిపోయింది.","[groans] Of course she did."
"26","తనే నన్ను ఈ మెట్ల మీద నుండి కిందికి తోసింది.","She's the one who pushed me down the stairs."
"27","ఇంకా తను ఇప్పుడు ఎక్కడ ఉందో నాకు తెలియదు. ఒట్టు.","And I [breathes shakily] I don't know where she is now. I swear."
"28","అయితే నీ వల్ల నాకేమీ ఉపయోగం లేదన్నమాట? సారీ.","So you're fucking useless to me? I'm sorry."
"41","అమ్మా.","Mom."
"42","మనం ఈ మెసేజ్ లని ఆఫ్ చేద్దాం, సరేనా?","Let's turn them off, okay?"
"45","నేను తిరిగి వచ్చినప్పుడు, కేవలం అతడితో పోరాడితే సరిపోతుంది అనుకున్నాను.","When I came back, I thought I'd only have him to deal with."
"46","ఇంకా చాలామంది ఉన్నారని నేను గ్రహించి ఉండాల్సింది.","I should've known there would be more."
"47","అయితే మనం ఎక్కడికి వెళ్తున్నాం?","So where do we go?"
"48","నాకు నిజంగా తెలియదు.","I really don't know."
"49","క్రెడిట్ కార్డుల్ని ట్రాక్ చేయచ్చు.","Credit cards can be tracked."
"50","ఎవరూ నగదు తీసుకోవడం లేదు.","No one really takes cash anymore."
"51","నాకు కనీసం ఐడియా వచ్చినా సరే, నేను దాన్ని ఎంచుకునే పరిస్థితి లేదు.","And even if I had an idea, I can't be the one to choose."
"52","దేనికి?","Why?"
"53","అతను ఏ ప్రదేశం గురించి ఆలోచించినా, వాళ్లు కూడా అదే ఆలోచించగలరు.","'Cause any place he would think of, they could too."
"54","నాకు ఒక ఐడియా వచ్చింది.","I have an idea."
"55","అదే.","[Charlie] , that's the one. That's the one."
"58","నీకు దీని సెక్యూరిటీ కోడ్ ఎలా తెలిసింది?","[keypad beeping] [alarm stops] And you just happen to know the security code?"
"59","జేమ్స్ కుటుంబం వేసవి సెలవుల్ని ఎక్కువగా వారాంతపు సెలవుల్ని ఇక్కడే గడుపుతారు.","James's family spends their summers most weekends here."
"60","నేను కొన్నిసార్లు ఇక్కడికి వచ్చాను. కొన్నిసార్లా?","I visited a couple of times. Couple of times?"
"61","వీడు అంతకన్నా ఎక్కువసార్లే ఇక్కడికి వచ్చాడు అనుకుంటా.","I think he's been here more than a couple of times."
"63","నీ గది ఎలా ఉంది?","How's your room?"
"64","నేను అమ్మని కాపాడి ఉండాల్సింది.","I should have protected her."
"65","చార్లీ.","[inhales deeply] Charlie."
"66","నేను మీ ఇద్దరినీ కాపాడి ఉండాల్సింది.","I should've protected both of you."
"67","ఇందులో ఏదీ నీ తప్పు కాదు.","None of this is your fault."
"68","ఆ విషయం నీకు తెలుసు, కదా?","You know that, right?"
"69","వాళ్లందరూ నిజంగానే నా తండ్రులా?","Are they really all my dad?"
"71","అవును ఇంకా కాదు.","Yes and no."
"72","అయితే ఇప్పుడు మనం ఏం చేయాలి?","[sighs] So what do we do?"
"73","మనం ఆలోచిద్దాం.","We figure it out."
"74","కాసేపు నిద్రపోయి లేచిన తరువాత.","once we get some sleep."
"76","హేయ్.","[Jason] Hey."
"77","నీకు ఒంటరిగా ఉండాలని ఉందా?","Do you wanna be alone?"
"79","నువ్వు చూసిన సంఘటనల్ని నేను కనీసం ఊహించలేను, మా దగ్గరకి తిరిగి రావడం కోసం నువ్వు పడిన కష్టాల్ని కూడా ఊహించలేను.","I can't imagine the things that you've seen, all the things you had to do to get back to us."
"80","నాకు ఇది ఎలా కావాలంటే.","I want it."
"81","నువ్వు ఇంటికి వచ్చినంత సింపుల్ గా ఉండాలి, మనం గతంలో ఉన్నట్లుగా ఎప్పటికీ ఉండాలి.","to just be as simple as you're home, we go back to the way we were."
"82","కానీ వాళ్లందరూ కూడా ఇంటికి వచ్చేస్తారు.","but they're all home too."
"84","ఎక్కడి నుండి ప్రారంభించాలో తెలియడం లేదు.","[whispers] I don't know where to start."
"86","మాక్స్ చనిపోయిన తరువాత మన జీవితం నుండి ప్రారంభించాలి అనుకుంటా.","Guess just like after Max."
"87","ఏదో విధంగా మనం మళ్లీ మన జీవితాన్ని ప్రారంభించాలి.","Somehow we just have to start."
"108","నేను పడిన కష్టాలని మీరు ఎవరూ అనుభవించి ఉండరు.","None of you have been through what I've been through."
"109","మీకు ఆ అర్హత లేదు.","You haven't earned it."
"110","చూడండి, మనందరం వాళ్లని పొందలేము, కాబట్టి.","You know, we we can't all have them obviously, so."
"111","ఇక్కడ ప్రశ్న ఏమిటంటే, ఎవరు వాళ్లతో ఉంటారన్నదే?","the question is, who gets stuck alone?"
"112","మనం అందరం కలిసికట్టుగా కుటుంబం బాధ్యతల్ని తీసుకుంటే?","What if we tried joint custody?"
"123","మొదట్లో, నేను హాయిగా ఫీల్ అయ్యేలా అతను చేయడం నాకు నచ్చింది.","At first, I liked the way he made me feel."
"124","జీవితం మళ్లీ పాత రోజుల నుండి మొదలుపెట్టినట్లు అనిపించింది.","It was like we had gone back to the start."
"125","కానీ అతను నా భర్త కాదు.","But he wasn't my husband."
"126","అతను మాతో పాటు ఉన్నాడు, నాతో కలిసి పడుకున్నాడు.","He lived with us, slept with me."
"127","నేను ప్రస్తుతానికి అంతవరకే చెప్పాలనుకుంటున్నాను.","That's all I wanna say right now."
"128","సారీ.","I'm sorry."
"130","మన జీవితాన్ని నేను ఇష్టపడ్డాను, కానీ కొన్ని సందర్భాలలో నేను అనుకునే వాడిని, ""ఒకవేళ అలా అయితే?"" అని.","I loved our life, but there were times that I thought, ""What if?"""
"131","ఎప్పుడూ కాదు, కానీ కొన్నిసార్లు అనుకునేవాడిని.","Not a constant thing, but sometimes."
"132","ఈ వేరే జేసన్, అతను, కొంతవరకూ, నాలాగే ఉంటాడు.","This other Jason, he is, to some degree, me."
"133","కాబట్టి నా సందేహాలు అతనిలో కూడా ఉంటాయి.","So my what-ifs are also in him."
"134","ఆ సందేహాలే అతడిని ఈ ప్రపంచంలోకి వచ్చేలా చేశాయి.","They led him to this world."
"135","అందులో నీ తప్పు ఏమీ లేదు.","None of it's your fault."
"136","నీకు తెలుసా, నన్ను పెళ్లి చేసుకోని నీ రూపాన్ని నేను కలుసుకున్నాను.","You know, I met a version of you that never married me."
"137","అవునా?","[chuckles] Yeah?"
"138","నేనేం చేసేదాన్ని?","What did I do?"
"139","నువ్వు ఒక చిత్రకారిణివి.","You're an artist."
"140","నీ సరికొత్త షో ప్రారంభించిన రోజు నిన్ను కలుసుకున్నాను.","I met you at the opening for your newest show."
"141","నీ జీవనం ఎంతో ఉన్నతంగా ఉండింది, ఇంకా.","You lived in a really cool loft, and."
"142","నీకు చాలామంది ఫ్రెండ్స్ ఉన్నారు.","you had a lot of friends."
"143","పిల్లలు లేరా?","No kids?"
"144","లేరు.","No."
"145","నేను సంతోషంగా ఉన్నానా?","Was I happy?"
"146","తను కూడా నీ గురించి ఇలాగే అడిగింది.","She wondered the same about you."
"148","ఇటీవలి లావాదేవీలు హోటల్ ఛార్జీలు లేవు, విమాన ప్రయాణాలు లేవు, ఎయిర్ బి.ఎన్.బి.లు లేవు, అద్దె కార్లు లేవు, కానీ అతను షాంబర్గ్ లో మాత్రం పెట్రోల్ కొట్టించాడు.","No hotel charges, no airline tickets, no Airbnb, no rental cars, but he buys fucking gas at Schaumburg."
"149","ఆ తరువాత వాళ్లు ఏటిఎమ్ నుండి ఐదు వందల డాలర్లు తీసుకున్నారు.","And they take $500 out of the ATM."
"150","అతను ఎక్కడికి వెళ్లి ఉంటాడు? అతను ఎక్కడికి వెళ్లాడు?","Where'd he go?"
"151","ఇలా చూడు. నువ్వు ఇది కనుక్కోగలవు.","Come on. You should be able to work this out."
"152","అతను ఎక్కడికి వెళ్లినా, నువ్వు కనుక్కోగలవు.","Wherever he would go, you would know."
"153","కాబట్టి నువ్వు ఎలాంటి నిర్ణయాలు తీసుకోవద్దు ఎందుకంటే అది ముందే ఊహించగలుగుతారు.","So you don't make the decision because it's too predictable."
"154","నాకు డానియేలా గురించి బాగా తెలుసు.","I know Daniela too well."
"155","వాళ్లు చార్లీతో ఈ పని చేయించి ఉంటారు.","They'll let Charlie do it."
"156","ఓహ్, చెత్త.",", fuck."
"157","మీ ఫోన్లు స్విచాఫ్ చేయకుండా ఉండే అవకాశం ఉందా?","Is there any chance you haven't powered your phones down?"
"161","నా ఫోన్ ఎక్కడ ఉంది?","Where's my phone?"
"164","నా ఫోన్ ఎక్కడ ఉంది? రైల్వే పట్టాల దగ్గర నువ్వు నా నుండి తీసుకున్న ఫోన్.","Where's my phone? The one that you took from me under the train tracks."
"166","నా ఫోన్ ఎక్కడ ఉంది?","Where is my phone?"
"167","అది ఎక్కడ ఉంది?","Where is it?"
"168","విను, నన్ను విడిచిపెట్టు.","Listen, cut me loose."
"169","అది నీకు దొరికేలా నేను సాయం చేస్తా.","I'll help you find it."
"170","నేను నిన్నే ఎందుకు కోసేయకూడదు?","Why don't I just cut you?"
"171","వద్దు. చూడు.","[grunts] No. Look."
"175","అదీ సంగతి. నా కారుని ఈ రోజు ఇవ్వగలరా?","[Jason] Gotcha."
"176","సారీ.","Sorry."
"180","మనం చార్లీ ఎలా ఉన్నాడో చూడాలి.","[Daniela] We should check on Charlie."
"181","డానియేలా?","Daniela?"
"183","నిన్న రాత్రి, మెసేజ్ బోర్డులో చూశాను వందలమంది జేసన్లు తిరిగి వచ్చారు.",", last night, I found a message board with hundreds of Jasons who'd made it back."
"184","వాళ్లు ఏం అంటున్నారు?","What were they saying?"
"185","వాళ్లలో కొందరు బాగా తప్పుదోవ పట్టి ఉన్నారు, కానీ వాళ్లందరూ తమ కుటుంబాన్ని ప్రేమిస్తున్నారు.","As damaged as some of them have become, they all love their family."
"186","వాళ్లు నిన్ను తిరిగి పొందాలని చూస్తున్నారు.","They want you back."
"187","వాళ్లలో ఒకడికి ఒక ఐడియా వచ్చింది.","One of them had an idea."
"189","ఏదో లాటరీ సిస్టమ్ మాదిరిగా, మాలో ఒకరు ఈ ప్రపంచంలో నీతో ఇంకా చార్లీతో పాటు ఉండిపోయే అవకాశం దక్కించుకుంటారు.","Kind of a lottery system, where apparently one of us gets to stay in this world with you and Charlie."
"190","మిగతా అందరూ ఈ ప్రపంచాన్ని విడిచి వెళ్లిపోతారు.","Everyone else leaves."
"191","కానీ, ఆ ఐడియా ఎవరికి వచ్చిందో కానీ వాళ్లు లాటరీని ఓడిపోయినట్లే.","Well, whoever had that idea just lost the lottery."
"192","మరొకడు కలిసికట్టుగా కుటుంబాన్ని పంచుకుందాం అన్నాడు.","Another suggested shared custody."
"193","వావ్.","Wow."
"194","సెలవు రోజులు పీడకలలా మారతాయి.","Holidays will be a nightmare."
"196","హేయ్.","Hey."
"197","మరి నీకు ఏం అయింది?","So what happened to you?"
"198","నాకు ఏం అయిందా?","What happened to me?"
"199","అవును.","Yeah."
"200","నన్ను నువ్వు కిడ్నాప్ చేసిన తరువాత నా కొడుకుకి అనైతికంగా తండ్రిగా నటించి నా భార్యని రేప్ చేశావు కదా?","After you kidnapped me and played out a sick dad fantasy with my son and raped my wife?"
"202","ఏం జరిగిందో నీకు చెబుతాను. నీ డానియేలా చనిపోయింది.","I'll tell you what happened. Your Daniela is dead."
"203","ఏంటి?","What?"
"204","ఎలా?","How?"
"205","అంటే, అది నా పొరపాటు.","Well, it was my fault."
"206","నిజానికి.","Actually."
"207","అది నీ తప్పే.","it was your fault."
"208","ఎందుకంటే నువ్వు ఎలాంటి మనుషులతో వ్యవహారాలు నడుపుతున్నావో నాకు తెలియలేదు.","Because I didn't know the kind of people that you were involved with."
"210","నాకు సాయం చేయాలని ప్రయత్నిస్తోందని డాన్ ఆమెని చంపేసింది.","Dawn killed her because she was trying to help me."
"211","ఇంకా రేయన్ ని లైటన్ చంపించాడు.",", and Leighton had Ryan killed."
"212","ఇంకా అమాండా కూడా ఉంది, ఆమెని నువ్వు వదిలేశావు.","And then there's Amanda, who you abandoned."
"213","బాక్స్ లో నేను తప్పించుకోవడానికి ఆమె సాయపడింది, కానీ ఆమె చాలా అయోమయంలో పడి దిక్కుతోచని స్థితిలోకి వెళ్లి భయపడిపోయింది.","She helped me escape in the box, and she was very confused and disoriented and scared."
"214","నీకు తెలుసు కదా, మనం బాక్స్ తలుపు తెరిచినప్పుడు ఇటువంటి ఫీలింగ్స్ మనలో ఉండకూడదు.","And as you know, they're not the kind of feelings you're supposed to have when you open the door."
"215","మేము తెరిచిన ఆరో తలుపు పెద్ద అడవికి దారి తీసింది.","The sixth door that we opened was a big forest."
"216","ఊరికే ఒకసారి చూద్దామని మేము బయటకు వెళ్లాము.","We just stepped outside just to have a look."
"217","అప్పుడు.","And."
"218","మంటలు అంటుకున్నట్లున్నాయి, అంతా చాలా చీకటిగా కనిపించింది.","there had been a fire, I guess. It was very black."
"219","కారు చీకటి, తెలుసా?","Blackened, you know?"
"220","అప్పుడు గాలి వీచింది, దానితో చెట్లు కిందపడిపోవడం మొదలైంది.","And so when a wind came, it just started knocking trees down."
"221","ఒక కొమ్మ కిందపడి.","This branch fell and."
"222","అంటే, నా తలకి దెబ్బ తగిలింది, కానీ ఇంకో పెద్ద కొమ్మ అలా వచ్చి.","well, one hit me on the head, but a really big one just came and went."
"224","ఆమెలోకి దిగబడిపోయింది.","right through her."
"225","ఆమెని నేల మీదకి గుచ్చినట్లు పడింది.","Pinned her to the ground."
"226","నేను ఇంకేమీ చేయలేకపోయాను.","And there was just nothing that I could do about it."
"227","కేవలం అక్కడ కూర్చుని ఆమె చనిపోతుంటే చూడటం మినహా.","except just sit there and wait for it to all be over."
"229","అది రెండు రోజుల పాటు సాగింది.","That took two days."
"232","అది ఆమెదేనా?","Is Is that hers?"
"233","అమాండాదా?","Amanda's?"
"234","ఆమె నీ కోసం ఏదైనా చేసి ఉండేది.","She would've done anything for you."
"235","వందకి వంద శాతం. ఏదైనా చేసేది.","One hundred percent. Anything."
"236","నువ్వు ఇంకా ఎలాంటి నష్టాలు కలిగించావో చూడాలని ఉందా?","Do you want to see what other damage you've caused?"
"238","అవును, ఇలా కొనసాగుతూనే ఉంది.","Yeah, and it just goes on. [laptop lid snaps shut]"
"240","నేను ఏం ఆలోచించానంటే.","I just thought."
"241","ఏం ఆలోచించావు?","What did you think?"
"242","అది పెద్ద విషయం కాదు.","It doesn't matter."
"243","నన్ను చూడు.","Look at me."
"244","నాకు నిజంగా తెలుసుకోవాలని ఉంది.","I would really like to know."
"245","నేను ఏం ఆలోచించానంటే.","I thought."
"247","నేను ఏం ఆలోచించానంటే.","I thought that."
"248","నువ్వు నా జీవితాన్ని ప్రేమిస్తావని అనుకున్నా.","you would love love my life."
"251","బ్లెయర్ కాప్లన్ నేను అక్కడికి వస్తున్నాను. పది నిమిషాల్లో అక్కడ ఉంటాను. ఇంకా ఏంటి చెప్పు?","[phone chimes] [clicks tongue] [Jason] What else?"
"253","బ్రూక్ ఇంకా డ్రూ డేటింగ్ చేసుకుంటున్నారు.","Brooke and Drew are dating."
"254","సారీ, బాబు.",", I'm sorry, pal."
"255","ఇక్కడ నుంచి ఘుమఘుమలు వస్తున్నాయి.","Smells good in here."
"256","అవును, కొద్దిగా ఎక్స్ పయిర్ అయిన పాన్ కేక్ మిక్స్ ఇంకా కండెన్సడ్ మిల్క్ క్యాన్ దొరికాయి.","Yeah, I found some slightly expired pancake mix and a can of condensed milk."
"257","సరే. ఎక్స్ పయిర్ అయిన పాన్ కేకులతో మీరు చేస్తున్న ప్రయోగాలు నాకు నచ్చాయి.","Okay. I like our chances with expired pancakes."
"259","నేను ఏం మిస్ అయ్యాను?","What'd I miss?"
"260","అంటే, డెస్సన్ ఇంట్లో ప్రస్తుతం జరుగుతున్న తాజా పరిణామాల్ని నేను తెలుసుకుంటున్నాను.","Well, I am catching up on current events at the Dessen household."
"261","ఈ మాటంటే గుర్తొచ్చింది, నువ్వు చేయాలి అనుకున్న ఆ షో సంగతి ఏం అయింది?","Speaking of which, what happened to that show that you were trying to land?"
"262","ఆర్ట్ స్పేస్ లో ఉండే డాన్ కర్ట్ కి అది దక్కింది.","Don Good at Artspace got it."
"263","మనకి అన్నీ సమస్యలుగానే ఉన్నాయి.","We are batting 1,000 here."
"264","ఏదైనా మంచి న్యూస్ ఉందా?","Any good news?"
"265","నా పుట్టినరోజు సందర్భంగా నాకు కొత్త కారు కొనిచ్చావు.","You got me a car for my birthday."
"266","అవును, అది విన్నాను. మంచి బ్లాక్ హాక్స్ ఐస్ హాకీ టికెట్లు కూడా.","Yes, I heard. Excellent Blackhawks tickets."
"267","కొత్త స్కేట్ బోర్డులు కొన్నావు.","New skateboards."
"268","నట్స్ ఉన్న ఐస్ క్రీమ్. ఏంటి?","[Daniela] Ice cream with nuts. What?"
"269","అవును, నువ్వు దాదాపుగా నన్ను చంపేయబోయావు.","[groans] Yeah, you almost killed me. [chuckles]"
"270","లేదు, కానీ నిజంగా, ఎపిపెన్ ని ఎలా వాడాలో కూడా నీకు తెలియలేదు.","Nah, but seriously, you didn't know how to use an EpiPen."
